HomeTeam,AwayTeam,FTHG,FTAG
Uzbekistan,Tajikistan,5,1
Djibouti,Pakistan,3,1
Central African Republic,Angola,1,2
Zambia,Ivory Coast,3,0
Lesotho,Comoros,0,1
Equatorial Guinea,Tunisia,1,0
Botswana,Libya,1,0
South Africa,Morocco,2,1
Benin,Senegal,1,1
Panama,Mexico,0,1
United States,Canada,2,0
Egypt,South Sudan,3,0
Guatemala,Venezuela,0,1
Paraguay,Nicaragua,2,0
Singapore,Solomon Islands,1,1
Netherlands,Italy,2,3
Croatia,Spain,0,0
Mauritius,Kenya,1,0
Sierra Leone,Nigeria,2,3
Cape Verde,Burkina Faso,3,1
Eswatini,Togo,0,2
Madagascar,Ghana,0,0
Tanzania,Niger,1,0
Uganda,Algeria,1,2
Congo,Mali,0,2
Gabon,DR Congo,0,2
Rwanda,Mozambique,0,2
Hong Kong,Thailand,0,1
Indonesia,Argentina,0,2
Jamaica,Jordan,1,2
Macau,Myanmar,0,2
Philippines,Taiwan,2,3
Republic of Ireland,Gibraltar,3,0
France,Greece,1,0
Ukraine,Malta,1,0
England,North Macedonia,7,0
Armenia,Latvia,2,1
Turkey,Wales,2,0
Finland,San Marino,6,0
Northern Ireland,Kazakhstan,0,1
Slovenia,Denmark,1,1
Belarus,Kosovo,2,1
Switzerland,Romania,2,2
Israel,Andorra,2,1
Guadeloupe,Guyana,2,0
Martinique,Puerto Rico,2,0
Saint Kitts and Nevis,French Guiana,1,1
Algeria,Tunisia,1,1
Bolivia,Chile,0,0
Brazil,Senegal,2,4
China,Palestine,2,0
Ecuador,Costa Rica,3,1
Germany,Colombia,0,2
Haiti,Trinidad and Tobago,0,0
Japan,Peru,4,1
South Korea,El Salvador,1,1
Malaysia,Papua New Guinea,10,0
Montenegro,Czech Republic,1,4
Uruguay,Cuba,2,0
Vietnam,Syria,1,0
Scotland,Georgia,2,0
Norway,Cyprus,3,1
Faroe Islands,Albania,1,3
Moldova,Poland,3,2
Austria,Sweden,2,0
Estonia,Belgium,0,3
Hungary,Lithuania,2,0
Bulgaria,Serbia,1,1
Iceland,Portugal,0,1
Bosnia and Herzegovina,Luxembourg,0,2
Liechtenstein,Slovakia,0,1
Kyrgyzstan,Oman,0,1
Uzbekistan,Iran,0,1
Burundi,Namibia,3,2
Ethiopia,Malawi,0,0
Sudan,Mauritania,0,3
Kuwait,Nepal,3,1
India,Pakistan,4,0
Lebanon,Bangladesh,2,0
Maldives,Bhutan,2,0
Pakistan,Kuwait,0,4
India,Nepal,2,0
United States,Jamaica,1,1
Bangladesh,Maldives,3,1
Bhutan,Lebanon,1,4
Trinidad and Tobago,Saint Kitts and Nevis,3,0
Haiti,Qatar,2,1
Mexico,Honduras,4,0
El Salvador,Martinique,1,2
Costa Rica,Panama,1,2
Nepal,Pakistan,1,0
India,Kuwait,1,1
Canada,Guadeloupe,2,2
Guatemala,Cuba,1,0
Lebanon,Maldives,1,0
Bhutan,Bangladesh,1,3
Jamaica,Trinidad and Tobago,4,1
United States,Saint Kitts and Nevis,6,0
Qatar,Honduras,1,1
Haiti,Mexico,1,3
Székely Land,Chameria,3,2
Martinique,Panama,1,2
El Salvador,Costa Rica,0,0
Chameria,Two Sicilies,3,1
India,Lebanon,0,0
Kuwait,Bangladesh,1,0
Cuba,Guadeloupe,1,4
Guatemala,Canada,0,0
Székely Land,Two Sicilies,7,0
United States,Trinidad and Tobago,6,0
Jamaica,Saint Kitts and Nevis,5,0
Honduras,Haiti,2,1
Mexico,Qatar,0,1
India,Kuwait,1,1
Costa Rica,Martinique,6,4
Panama,El Salvador,2,2
Guadeloupe,Guatemala,2,3
Canada,Cuba,4,2
Eswatini,Botswana,0,1
South Africa,Namibia,1,1
Seychelles,Comoros,0,3
Zambia,Malawi,0,1
Mauritius,Lesotho,0,2
Mozambique,Angola,1,1
Panama,Qatar,4,0
Mexico,Costa Rica,2,0
South Africa,Botswana,2,1
Namibia,Eswatini,1,2
Guatemala,Jamaica,0,1
United States,Canada,2,2
Åland Islands,Isle of Wight,0,2
Guernsey,Western Isles,1,0
Isle of Man,Falkland Islands,3,0
Ynys Môn,Shetland,2,0
Orkney,Greenland,2,2
Jersey,Gozo,1,0
Menorca,Saint Helena,5,0
Zambia,Comoros,2,1
Malawi,Seychelles,2,0
Western Isles,Isle of Wight,0,1
Guernsey,Åland Islands,4,1
Falkland Islands,Ynys Môn,1,5
Shetland,Isle of Man,3,2
Greenland,Frøya,2,0
Gozo,Saint Helena,3,0
Jersey,Menorca,4,0
Angola,Mauritius,0,1
Mozambique,Lesotho,0,1
Guernsey,Isle of Wight,1,2
Åland Islands,Western Isles,0,2
Falkland Islands,Shetland,1,4
Isle of Man,Ynys Môn,1,2
Frøya,Orkney,2,3
Menorca,Gozo,0,1
Saint Helena,Jersey,0,5
Namibia,Botswana,0,0
South Africa,Eswatini,2,1
Malawi,Comoros,2,0
Seychelles,Zambia,2,4
United States,Panama,1,1
Jamaica,Mexico,0,3
Angola,Lesotho,4,2
Mauritius,Mozambique,0,1
Frøya,Saint Helena,4,2
Åland Islands,Falkland Islands,1,1
Western Isles,Menorca,2,1
Orkney,Isle of Man,0,1
Shetland,Greenland,5,1
Guernsey,Gozo,1,0
Isle of Wight,Jersey,2,3
Ynys Môn,Jersey,2,5
Malawi,Lesotho,1,1
South Africa,Zambia,1,2
Kernow,Sápmi,2,1
Mexico,Panama,1,0
South Africa,Malawi,0,0
Lesotho,Zambia,0,1
Ethiopia,Guyana,2,0
Tamil Eelam,Hmong,3,0
Hmong,Tibet,5,4
Tibet,Tamil Eelam,1,3
Raetia,Ticino,5,1
Tamil Eelam,Hmong,3,1
Comoros,Mayotte,0,0
Madagascar,Seychelles,1,0
Réunion,Mayotte,0,0
Madagascar,Mauritius,1,1
Bolivia,Panama,1,2
Tahiti,Cook Islands,9,1
Comoros,Réunion,1,1
Mauritius,Seychelles,1,0
Tahiti,Cook Islands,3,0
Madagascar,Comoros,4,2
Réunion,Mauritius,2,1
Comoros,Mauritius,0,2
Madagascar,Réunion,1,0
Bangladesh,Afghanistan,0,0
Guatemala,Honduras,0,0
Mozambique,Benin,3,2
Macau,Bhutan,0,1
Malta,Gibraltar,1,0
Oman,Palestine,2,1
Syria,Malaysia,2,2
Libya,Equatorial Guinea,1,1
Trinidad and Tobago,Curaçao,1,0
Panama,Martinique,3,0
Guatemala,El Salvador,2,0
Sint Maarten,Saint Lucia,1,5
Saint Kitts and Nevis,Guadeloupe,1,2
Anguilla,Saint Martin,0,6
United States Virgin Islands,Cayman Islands,2,2
Colombia,Venezuela,1,0
Paraguay,Peru,0,0
Argentina,Ecuador,1,0
Austria,Moldova,1,1
Bahrain,Kuwait,1,3
Bangladesh,Afghanistan,1,1
Bulgaria,Iran,0,1
Cambodia,Hong Kong,1,1
Norway,Jordan,6,0
Qatar,Kenya,1,2
Wales,South Korea,0,0
Ghana,Central African Republic,2,1
Angola,Madagascar,0,0
Algeria,Tanzania,0,0
Niger,Uganda,0,2
Tunisia,Botswana,3,0
France,Republic of Ireland,2,0
Netherlands,Greece,3,0
Czech Republic,Albania,1,1
Poland,Faroe Islands,2,0
Serbia,Hungary,1,2
Lithuania,Montenegro,2,2
Kazakhstan,Finland,0,1
Denmark,San Marino,4,0
Slovenia,Northern Ireland,4,2
Iraq,India,2,2
Thailand,Lebanon,2,1
Haiti,Cuba,0,0
Grenada,Suriname,1,1
Jamaica,Honduras,1,0
Barbados,Montserrat,2,3
Dominican Republic,Nicaragua,0,2
Bermuda,French Guiana,0,0
Belize,Saint Vincent and the Grenadines,1,2
Uruguay,Chile,3,1
Brazil,Bolivia,5,1
Taiwan,Philippines,1,1
Costa Rica,Saudi Arabia,3,1
Indonesia,Turkmenistan,2,0
Myanmar,Nepal,0,0
Singapore,Tajikistan,0,2
Burkina Faso,Eswatini,0,0
Egypt,Ethiopia,1,0
Mali,South Sudan,4,0
Georgia,Spain,1,7
Cyprus,Scotland,0,3
Croatia,Latvia,5,0
Turkey,Armenia,1,1
Bosnia and Herzegovina,Liechtenstein,2,1
Luxembourg,Iceland,3,1
Slovakia,Portugal,0,1
Antigua and Barbuda,Guyana,1,5
Bahamas,Puerto Rico,1,6
British Virgin Islands,Turks and Caicos Islands,3,1
China,Malaysia,1,1
Germany,Japan,1,4
Mexico,Australia,2,2
South Africa,Namibia,0,0
United States,Uzbekistan,3,0
Malawi,Guinea,2,2
Ivory Coast,Lesotho,1,0
Comoros,Zambia,1,1
Mauritania,Gabon,2,1
DR Congo,Sudan,2,0
Rwanda,Senegal,1,1
Ukraine,England,1,1
North Macedonia,Italy,1,1
Azerbaijan,Belgium,0,1
Estonia,Sweden,0,5
Andorra,Belarus,0,0
Kosovo,Switzerland,2,2
Romania,Israel,1,1
Guatemala,Panama,1,1
El Salvador,Trinidad and Tobago,2,3
Martinique,Curaçao,1,0
Guadeloupe,Sint Maarten,4,0
Saint Lucia,Saint Kitts and Nevis,2,0
Hungary,Czech Republic,1,1
Nigeria,São Tomé and Príncipe,6,0
Togo,Cape Verde,3,2
Gambia,Congo,2,2
Republic of Ireland,Netherlands,1,2
Greece,Gibraltar,5,0
Faroe Islands,Moldova,0,1
Albania,Poland,2,0
Montenegro,Bulgaria,2,1
Lithuania,Serbia,1,3
Finland,Denmark,0,1
Kazakhstan,Northern Ireland,1,0
San Marino,Slovenia,0,4
Lebanon,India,1,0
Thailand,Iraq,2,2
Dominican Republic,Montserrat,3,0
Nicaragua,Barbados,5,1
Saint Martin,Bonaire,2,1
Cayman Islands,Aruba,1,2
Cambodia,Macau,4,0
Hong Kong,Brunei,10,0
Kuwait,Kyrgyzstan,1,3
Myanmar,Nepal,1,0
Vietnam,Palestine,2,0
Guinea-Bissau,Sierra Leone,2,1
Armenia,Croatia,0,1
Latvia,Wales,0,2
Iceland,Bosnia and Herzegovina,1,0
Portugal,Luxembourg,9,0
Slovakia,Liechtenstein,3,0
Cuba,Suriname,1,0
Jamaica,Haiti,2,2
Honduras,Grenada,4,0
Saint Vincent and the Grenadines,Bermuda,4,3
French Guiana,Belize,0,2
Guyana,Bahamas,3,2
Puerto Rico,Antigua and Barbuda,5,0
Turks and Caicos Islands,Dominica,0,3
Bolivia,Argentina,0,3
Ecuador,Uruguay,2,1
Venezuela,Paraguay,1,0
Peru,Brazil,0,1
Chile,Colombia,0,0
Azerbaijan,Jordan,2,1
Bahrain,Turkmenistan,1,1
China,Syria,0,1
Egypt,Tunisia,1,3
Germany,France,2,1
Qatar,Russia,1,1
Ghana,Liberia,3,1
Iran,Angola,4,0
Japan,Turkey,4,2
Kenya,South Sudan,0,1
South Korea,Saudi Arabia,1,0
Mexico,Uzbekistan,3,3
Morocco,Burkina Faso,1,0
Philippines,Afghanistan,2,1
Scotland,England,1,3
Senegal,Algeria,0,1
Singapore,Taiwan,3,1
South Africa,DR Congo,1,0
United Arab Emirates,Costa Rica,4,1
United States,Oman,4,0
Cameroon,Burundi,3,0
Norway,Georgia,2,1
Spain,Cyprus,6,0
Italy,Ukraine,2,1
Malta,North Macedonia,0,2
Belgium,Estonia,5,0
Sweden,Austria,1,3
Switzerland,Andorra,3,0
Israel,Belarus,1,0
Romania,Kosovo,2,0
Papua New Guinea,Solomon Islands,1,3
New Caledonia,Vanuatu,4,0
China,Vietnam,2,0
Wales,Gibraltar,4,0
Solomon Islands,Vanuatu,1,0
New Caledonia,Papua New Guinea,3,1
Suriname,Haiti,1,1
Grenada,Jamaica,1,4
Cuba,Honduras,0,0
Sint Maarten,Saint Kitts and Nevis,2,3
Saint Lucia,Guadeloupe,2,1
Bonaire,Anguilla,2,0
Dominica,British Virgin Islands,1,1
Colombia,Uruguay,2,2
Bolivia,Ecuador,1,2
Argentina,Paraguay,1,0
Brazil,Venezuela,1,1
Chile,Peru,2,0
Afghanistan,Mongolia,1,0
Cambodia,Pakistan,0,0
Taiwan,Timor-Leste,4,0
Hong Kong,Bhutan,4,0
Indonesia,Brunei,6,0
Maldives,Bangladesh,1,1
Myanmar,Macau,5,1
Nepal,Laos,1,1
Singapore,Guam,2,1
Yemen,Sri Lanka,3,0
Algeria,Cape Verde,5,1
Bahrain,Kyrgyzstan,2,0
Egypt,Zambia,1,0
Georgia,Thailand,8,0
Montenegro,Lebanon,3,2
Russia,Cameroon,1,0
Sweden,Moldova,3,1
Spain,Scotland,2,0
Cyprus,Norway,0,4
Latvia,Armenia,2,0
Croatia,Turkey,0,1
Faroe Islands,Poland,0,2
Albania,Czech Republic,3,0
Andorra,Kosovo,0,3
Belarus,Romania,0,0
Curaçao,Panama,1,2
Martinique,El Salvador,1,0
Trinidad and Tobago,Guatemala,3,2
Montserrat,Nicaragua,0,3
Barbados,Dominican Republic,0,5
Saint Vincent and the Grenadines,French Guiana,1,4
Belize,Bermuda,0,1
DR Congo,New Zealand,1,1
England,Australia,1,0
Equatorial Guinea,Burkina Faso,0,0
Guinea,Guinea-Bissau,1,0
Iraq,Qatar,0,0
Japan,Canada,4,1
South Korea,Tunisia,4,0
Mali,Uganda,1,0
Nigeria,Saudi Arabia,2,2
South Africa,Eswatini,0,0
Vietnam,Uzbekistan,0,2
Republic of Ireland,Greece,0,2
Netherlands,France,1,2
Estonia,Azerbaijan,0,2
Austria,Belgium,2,3
Iceland,Luxembourg,1,1
Portugal,Slovakia,3,2
Liechtenstein,Bosnia and Herzegovina,0,2
Angola,Mozambique,1,1
Puerto Rico,Guyana,1,3
Bahamas,Antigua and Barbuda,1,4
Aruba,United States Virgin Islands,3,1
Ivory Coast,Morocco,1,1
Liberia,Libya,2,3
Mauritania,Madagascar,2,1
Mexico,Ghana,2,0
Niger,Somalia,3,0
Sierra Leone,Benin,1,1
United States,Germany,1,3
Ukraine,North Macedonia,2,0
Italy,Malta,4,0
Bulgaria,Lithuania,0,2
Hungary,Serbia,2,1
Northern Ireland,San Marino,3,0
Slovenia,Finland,3,0
Denmark,Kazakhstan,3,1
Papua New Guinea,Vanuatu,0,1
New Caledonia,Solomon Islands,0,1
Honduras,Cuba,4,0
Haiti,Jamaica,2,3
Suriname,Grenada,4,0
Guadeloupe,Saint Lucia,2,0
Saint Kitts and Nevis,Sint Maarten,0,1
Kyrgyzstan,Philippines,0,1
Sudan,Tanzania,1,1
Georgia,Cyprus,4,0
Norway,Spain,0,1
Wales,Croatia,2,1
Turkey,Latvia,4,0
Czech Republic,Faroe Islands,1,0
Poland,Moldova,1,1
Switzerland,Belarus,3,3
Romania,Andorra,4,0
Dominican Republic,Barbados,5,2
Nicaragua,Montserrat,3,0
French Guiana,Saint Vincent and the Grenadines,3,2
Saint Martin,Anguilla,8,0
Turks and Caicos Islands,British Virgin Islands,2,2
Algeria,Egypt,1,1
Botswana,Eswatini,2,1
Kenya,Russia,2,2
China,Uzbekistan,1,2
Mozambique,Nigeria,2,3
Senegal,Cameroon,1,0
Gibraltar,Republic of Ireland,0,4
Greece,Netherlands,0,1
Azerbaijan,Austria,0,1
Belgium,Sweden,1,1
Iceland,Liechtenstein,4,0
Bosnia and Herzegovina,Portugal,0,5
Luxembourg,Slovakia,0,1
El Salvador,Martinique,0,0
Panama,Guatemala,3,0
Curaçao,Trinidad and Tobago,5,3
Bermuda,Belize,1,1
Antigua and Barbuda,Bahamas,2,2
Guyana,Puerto Rico,3,1
Cayman Islands,United States Virgin Islands,2,1
Venezuela,Chile,3,0
Ecuador,Colombia,0,0
Paraguay,Bolivia,1,0
Peru,Argentina,0,2
Uruguay,Brazil,2,0
Bangladesh,Maldives,2,1
Bhutan,Hong Kong,2,0
Brunei,Indonesia,0,6
Guam,Singapore,0,1
Laos,Nepal,0,1
Macau,Myanmar,0,0
Mongolia,Afghanistan,0,1
Pakistan,Cambodia,1,0
Sri Lanka,Yemen,1,1
Taiwan,Timor-Leste,3,0
Albania,Bulgaria,2,0
Angola,DR Congo,0,0
Australia,New Zealand,2,0
Bahrain,Philippines,1,0
Benin,Madagascar,1,2
Burkina Faso,Mauritania,2,1
Cape Verde,Comoros,1,2
Estonia,Thailand,1,1
France,Scotland,4,1
Guinea,Gabon,1,1
Ivory Coast,South Africa,1,1
South Korea,Vietnam,6,0
Libya,Niger,1,1
Mali,Saudi Arabia,3,1
Mexico,Germany,2,2
North Macedonia,Armenia,3,1
Somalia,Sierra Leone,0,2
Sudan,Chad,1,0
Syria,Kuwait,1,2
United Arab Emirates,Lebanon,2,1
United States,Ghana,4,0
Zambia,Uganda,3,0
Morocco,Liberia,3,0
England,Italy,3,1
Malta,Ukraine,1,3
Serbia,Montenegro,3,1
Lithuania,Hungary,2,2
Finland,Kazakhstan,1,2
Northern Ireland,Slovenia,0,1
San Marino,Denmark,1,2
United Arab Emirates,Kuwait,1,0
Guatemala,Jamaica,0,0
Kosovo,Israel,1,0
Ethiopia,Sierra Leone,0,0
DR Congo,Mauritania,2,0
Rwanda,Zimbabwe,0,0
Equatorial Guinea,Namibia,0,3
Belgium,Serbia,1,0
Israel,Switzerland,1,1
Sint Maarten,Guadeloupe,0,2
Saint Kitts and Nevis,Saint Lucia,0,0
United States Virgin Islands,Aruba,1,4
British Virgin Islands,Dominica,1,2
Costa Rica,Panama,0,3
United States,Trinidad and Tobago,3,0
Bolivia,Peru,2,0
Venezuela,Ecuador,0,0
Colombia,Brazil,2,1
Argentina,Uruguay,0,2
Chile,Paraguay,0,0
Qatar,Afghanistan,8,1
Kuwait,India,0,1
Japan,Myanmar,5,0
Syria,North Korea,1,0
Thailand,China,1,2
South Korea,Singapore,5,0
Oman,Taiwan,3,0
Malaysia,Kyrgyzstan,4,3
Iran,Hong Kong,4,0
Turkmenistan,Uzbekistan,1,3
Iraq,Indonesia,5,1
Philippines,Vietnam,0,2
Tajikistan,Jordan,1,1
Saudi Arabia,Pakistan,4,0
United Arab Emirates,Nepal,4,0
Yemen,Bahrain,0,2
Lebanon,Palestine,0,0
Australia,Bangladesh,7,0
Egypt,Djibouti,6,0
Sudan,Togo,1,1
Nigeria,Lesotho,1,1
Cape Verde,Angola,0,0
Burundi,Gambia,3,2
Gabon,Kenya,2,1
Botswana,Mozambique,2,3
Algeria,Somalia,3,1
Curaçao,El Salvador,1,1
Norway,Faroe Islands,2,0
Cyprus,Spain,1,3
Georgia,Scotland,2,2
Estonia,Austria,0,2
Azerbaijan,Sweden,3,0
Bulgaria,Hungary,2,2
Montenegro,Lithuania,2,0
Liechtenstein,Portugal,0,2
Luxembourg,Bosnia and Herzegovina,4,1
Slovakia,Iceland,4,2
Montserrat,Dominican Republic,2,1
Barbados,Nicaragua,0,4
Bermuda,Saint Vincent and the Grenadines,3,1
Belize,French Guiana,1,0
Honduras,Mexico,2,0
Burkina Faso,Guinea-Bissau,1,1
Eswatini,Libya,0,1
Cameroon,Mauritius,3,0
Zambia,Congo,4,2
Ivory Coast,Seychelles,9,0
Guinea,Uganda,2,1
Liberia,Malawi,0,1
Tunisia,São Tomé and Príncipe,4,0
Comoros,Central African Republic,4,2
Ghana,Madagascar,1,0
Mali,Chad,3,1
Greece,New Zealand,2,0
England,Malta,2,0
Italy,North Macedonia,5,2
Moldova,Albania,1,1
Poland,Czech Republic,1,1
Finland,Northern Ireland,4,0
Denmark,Slovenia,2,1
Kazakhstan,San Marino,3,1
Papua New Guinea,Tuvalu,3,0
Solomon Islands,Samoa,1,0
Antigua and Barbuda,Puerto Rico,2,3
Anguilla,Bonaire,0,3
Jamaica,Canada,1,2
Senegal,South Sudan,4,0
South Africa,Benin,2,1
Niger,Tanzania,0,1
Germany,Turkey,2,3
France,Gibraltar,14,0
Netherlands,Republic of Ireland,1,0
Armenia,Wales,1,1
Latvia,Croatia,0,2
Belarus,Andorra,1,0
Switzerland,Kosovo,1,1
Israel,Romania,1,2
New Caledonia,Tonga,7,0
Fiji,Northern Mariana Islands,10,0
Guadeloupe,Saint Kitts and Nevis,5,0
Saint Lucia,Sint Maarten,1,2
Sierra Leone,Egypt,0,2
Sudan,DR Congo,1,0
Zimbabwe,Nigeria,1,1
Burundi,Gabon,1,2
Mozambique,Algeria,0,2
Cyprus,Lithuania,1,0
Scotland,Norway,3,3
Spain,Georgia,3,1
Belgium,Azerbaijan,5,0
Sweden,Estonia,2,0
Hungary,Montenegro,3,1
Serbia,Bulgaria,2,2
Portugal,Iceland,2,0
Bosnia and Herzegovina,Slovakia,1,2
Liechtenstein,Luxembourg,0,1
Montserrat,Barbados,4,2
Aruba,Cayman Islands,5,1
Dominica,Turks and Caicos Islands,2,0
Panama,Costa Rica,3,1
Trinidad and Tobago,United States,2,1
Djibouti,Guinea-Bissau,0,1
Gambia,Ivory Coast,0,2
Seychelles,Kenya,0,5
Liberia,Equatorial Guinea,3,0
Mali,Central African Republic,1,1
Chad,Madagascar,0,3
Curaçao,El Salvador,1,1
Russia,Cuba,8,0
North Macedonia,England,1,1
Ukraine,Italy,0,0
Albania,Faroe Islands,0,0
Czech Republic,Moldova,3,0
Northern Ireland,Denmark,2,0
San Marino,Finland,1,2
Slovenia,Kazakhstan,2,1
Tuvalu,Vanuatu,0,6
Samoa,American Samoa,10,0
Nicaragua,Dominican Republic,0,0
French Guiana,Bermuda,3,0
Saint Vincent and the Grenadines,Belize,3,0
Guyana,Antigua and Barbuda,6,0
Puerto Rico,Bahamas,6,1
Bonaire,Saint Martin,0,4
Canada,Jamaica,2,3
Mexico,Honduras,2,0
Ecuador,Chile,1,0
Paraguay,Colombia,0,1
Uruguay,Bolivia,3,0
Peru,Venezuela,1,1
Brazil,Argentina,0,1
India,Qatar,0,3
Afghanistan,Kuwait,0,4
Myanmar,North Korea,1,6
Syria,Japan,0,5
China,South Korea,0,3
Singapore,Thailand,1,3
Taiwan,Malaysia,0,1
Kyrgyzstan,Oman,1,0
Uzbekistan,Iran,2,2
Hong Kong,Turkmenistan,2,2
Philippines,Indonesia,1,1
Vietnam,Iraq,0,1
Pakistan,Tajikistan,1,6
Jordan,Saudi Arabia,0,2
Bahrain,United Arab Emirates,0,2
Nepal,Yemen,0,2
Palestine,Australia,0,1
Bangladesh,Lebanon,1,1
Ethiopia,Burkina Faso,0,3
South Sudan,Mauritania,0,0
Togo,Senegal,0,0
Lesotho,Benin,0,0
Rwanda,South Africa,2,0
Eswatini,Cape Verde,0,2
Libya,Cameroon,1,1
Mauritius,Angola,0,0
Niger,Zambia,2,1
Tanzania,Morocco,0,2
Somalia,Uganda,0,1
Botswana,Guinea,1,0
Malawi,Tunisia,0,1
São Tomé and Príncipe,Namibia,0,2
Comoros,Ghana,1,0
Austria,Germany,2,0
Poland,Latvia,2,0
Republic of Ireland,New Zealand,1,1
Gibraltar,Netherlands,0,6
Greece,France,2,2
Wales,Turkey,1,1
Croatia,Armenia,1,0
Andorra,Israel,0,2
Kosovo,Belarus,0,1
Romania,Switzerland,1,0
Tonga,Cook Islands,1,2
Fiji,Tahiti,0,0
Vanuatu,Papua New Guinea,1,1
Solomon Islands,American Samoa,11,0
Cook Islands,New Caledonia,0,8
Northern Mariana Islands,Tahiti,0,5
Northern Mariana Islands,American Samoa,4,0
Tonga,Tuvalu,0,4
Tahiti,Samoa,2,1
Cook Islands,Papua New Guinea,0,3
New Caledonia,Vanuatu,1,0
Solomon Islands,Fiji,2,0
American Samoa,Tonga,2,6
Northern Mariana Islands,Tuvalu,1,4
Samoa,Cook Islands,3,0
Tahiti,Papua New Guinea,2,0
Vanuatu,Fiji,2,4
Solomon Islands,New Caledonia,2,2
Mexico,Colombia,2,3
Japan,Thailand,5,0
China,Hong Kong,1,2
Indonesia,Libya,0,4
Tajikistan,Hong Kong,2,1
Saudi Arabia,Lebanon,1,0
Indonesia,Libya,1,2
Iran,Burkina Faso,2,1
Kyrgyzstan,Syria,1,1
Qatar,Jordan,1,2
Togo,Algeria,0,3
DR Congo,Angola,0,0
Iraq,South Korea,0,1
Bahrain,Australia,0,2
Mozambique,Lesotho,2,0
United Arab Emirates,Oman,0,1
Ivory Coast,Sierra Leone,5,1
Tunisia,Mauritania,0,0
Mali,Guinea-Bissau,6,2
Uzbekistan,Palestine,1,0
Egypt,Tanzania,2,0
Nigeria,Guinea,0,2
Botswana,Mozambique,1,1
Syria,Malaysia,2,2
Senegal,Niger,1,0
Ghana,Namibia,0,0
Japan,Jordan,6,1
Kyrgyzstan,Vietnam,2,1
Zambia,Cameroon,1,1
Equatorial Guinea,Djibouti,1,1
Saudi Arabia,Palestine,0,0
Burundi,Algeria,0,4
Indonesia,Iran,0,5
South Africa,Lesotho,0,0
DR Congo,Burkina Faso,1,2
Bahrain,Angola,0,3
Saudi Arabia,Hong Kong,2,0
Tunisia,Cape Verde,2,0
Morocco,Sierra Leone,3,1
Qatar,Lebanon,3,0
Kuwait,Libya,1,3
Sweden,Estonia,2,1
China,Tajikistan,0,0
Australia,India,2,0
Uzbekistan,Syria,0,0
Ivory Coast,Guinea-Bissau,2,0
Guatemala,Iceland,0,1
United Arab Emirates,Hong Kong,3,1
Iran,Palestine,4,1
Japan,Vietnam,4,2
Nigeria,Equatorial Guinea,1,1
Egypt,Mozambique,2,2
Ghana,Cape Verde,1,2
Indonesia,Iraq,1,3
South Korea,Bahrain,3,1
Malaysia,Jordan,0,4
Senegal,Gambia,3,0
Cameroon,Guinea,1,1
Algeria,Angola,1,1
Thailand,Kyrgyzstan,2,0
Saudi Arabia,Oman,2,1
Burkina Faso,Mauritania,1,0
Tunisia,Namibia,0,1
Mali,South Africa,2,0
Lebanon,China,0,0
Qatar,Tajikistan,1,0
Morocco,Tanzania,3,0
DR Congo,Zambia,1,1
Honduras,Iceland,0,2
Syria,Australia,0,1
India,Uzbekistan,0,3
Palestine,United Arab Emirates,1,1
Equatorial Guinea,Guinea-Bissau,4,2
Ivory Coast,Nigeria,0,1
Egypt,Ghana,2,2
Hong Kong,Iran,0,1
Iraq,Japan,2,1
Vietnam,Indonesia,0,1
Cape Verde,Mozambique,3,0
Senegal,Cameroon,3,1
Guinea,Gambia,1,0
Kuwait,Uganda,0,2
Jordan,South Korea,2,2
Bahrain,Malaysia,1,0
Algeria,Burkina Faso,2,2
Mauritania,Angola,2,3
Tunisia,Mali,1,1
United States,Slovenia,0,1
Oman,Thailand,0,0
Kyrgyzstan,Saudi Arabia,0,2
South Africa,Namibia,4,0
Morocco,DR Congo,1,1
Zambia,Tanzania,1,1
Qatar,China,1,0
Tajikistan,Lebanon,2,1
Guinea-Bissau,Nigeria,0,1
Ivory Coast,Equatorial Guinea,0,4
Cape Verde,Egypt,2,2
Mozambique,Ghana,2,2
Australia,Uzbekistan,1,1
Syria,India,1,0
Hong Kong,Palestine,0,3
Iran,United Arab Emirates,2,1
Gambia,Cameroon,2,3
Guinea,Senegal,0,2
Angola,Burkina Faso,2,0
Mauritania,Algeria,1,0
Iraq,Vietnam,3,2
Japan,Indonesia,3,1
Namibia,Mali,0,0
South Africa,Tunisia,0,0
Tanzania,DR Congo,0,0
Zambia,Morocco,0,1
Jordan,Bahrain,0,1
South Korea,Malaysia,3,3
Kyrgyzstan,Oman,1,1
Saudi Arabia,Thailand,0,0
Angola,Namibia,3,0
Nigeria,Cameroon,2,0
Australia,Indonesia,4,0
Tajikistan,United Arab Emirates,1,1
Egypt,DR Congo,1,1
Equatorial Guinea,Guinea,0,1
Iraq,Jordan,2,3
Qatar,Palestine,2,1
Cape Verde,Mauritania,1,0
Ivory Coast,Senegal,1,1
Saudi Arabia,South Korea,1,1
Uzbekistan,Thailand,2,1
Mali,Burkina Faso,2,1
Morocco,South Africa,0,2
Bahrain,Japan,1,3
Iran,Syria,1,1
Australia,South Korea,1,2
Tajikistan,Jordan,0,1
DR Congo,Guinea,3,1
Nigeria,Angola,1,0
Iran,Japan,2,1
Qatar,Uzbekistan,1,1
Cape Verde,South Africa,0,0
Ivory Coast,Mali,2,1
Costa Rica,El Salvador,2,0
Jordan,South Korea,2,0
